nacchoid,link from,link to,state,Notes
CA020,Long Beach City Department of Health and Human Services,CA045,CA,
CA020,Long Beach City Department of Health and Human Services,CA060,CA,
CA022,Madera County Public Health,CA011,CA,
CA022,Madera County Public Health,CA026,CA,
CA022,Madera County Public Health,CA042,CA,
CA022,Madera County Public Health,CA053,CA,
CA022,Madera County Public Health,CA017,CA,
CA026,Merced County Department of Public Health,CA011,CA,
CA026,Merced County Department of Public Health,CA022,CA,
CA026,Merced County Department of Public Health,CA042,CA,
CA026,Merced County Department of Public Health,CA053,CA,
CA029,Monterey County Health Department,WA022,WA,
CA029,Monterey County Health Department,OR024,OR,
CA029,Monterey County Health Department,CA040,CA,
CA029,Monterey County Health Department,CA047,CA,
CA032,Orange County Health Care Agency/Public Health,CA036,CA,
CA032,Orange County Health Care Agency/Public Health,CA039,CA,
CA032,Orange County Health Care Agency/Public Health,CA040,CA,
CA032,Orange County Health Care Agency/Public Health,CA045,CA,
CA032,Orange County Health Care Agency/Public Health,CA062,CA,
CA033,City of Pasadena Public Health Department,CA020,CA,
CA033,City of Pasadena Public Health Department,CA032,CA,
CA033,City of Pasadena Public Health Department,CA039,CA,
CA033,City of Pasadena Public Health Department,CA045,CA,
CA033,City of Pasadena Public Health Department,California State Dept of Public Health,CA,"This is a state HD, remove"
CA036,Riverside University Health System - Public Health,CA032,CA,
CA036,Riverside University Health System - Public Health,CA039,CA,
CA036,Riverside University Health System - Public Health,CA040,CA,
CA036,Riverside University Health System - Public Health,CA045,CA,
CA036,Riverside University Health System - Public Health,California Department of Public Health,CA,"This is a state HD, remove"
CA038,San Benito County Health and Human Services,CA011,CA,
CA038,San Benito County Health and Human Services,CA026,CA,
CA038,San Benito County Health and Human Services,CA046,CA,
CA038,San Benito County Health and Human Services,CA029,CA,
CA038,San Benito County Health and Human Services,CA047,CA,
CA040,"San Diego County, HHSA, Public Health Services",CA004,CA,
CA040,"San Diego County, HHSA, Public Health Services",CA032,CA,
CA040,"San Diego County, HHSA, Public Health Services",CA036,CA,
CA040,"San Diego County, HHSA, Public Health Services",CA045,CA,
CA040,"San Diego County, HHSA, Public Health Services",CA041,CA,
CA042,San Joaquin County Public Health Services,CA011,CA,
CA042,San Joaquin County Public Health Services,CA022,CA,
CA042,San Joaquin County Public Health Services,CA053,CA,
CA042,San Joaquin County Public Health Services,CA006,CA,
CA042,San Joaquin County Public Health Services,CA026,CA,
CA043,San Luis Obispo County Health Department,CA029,CA,
CA043,San Luis Obispo County Health Department,CA032,CA,
CA043,San Luis Obispo County Health Department,CA045,CA,
CA043,San Luis Obispo County Health Department,CA064,CA,
CA043,San Luis Obispo County Health Department,CA023,CA,
CA046,Santa Clara County Public Health Department,CA001,CA,
CA046,Santa Clara County Public Health Department,CA045,CA,
CA046,Santa Clara County Public Health Department,CA041,CA,
CA046,Santa Clara County Public Health Department,CA044,CA,
CA051,Solano County Health and Social Services Dept. - Public Health,CA001,CA,
CA051,Solano County Health and Social Services Dept. - Public Health,CA032,CA,
CA051,Solano County Health and Social Services Dept. - Public Health,CA040,CA,
CA051,Solano County Health and Social Services Dept. - Public Health,CA045,CA,
CA051,Solano County Health and Social Services Dept. - Public Health,CA023,CA,
CA052,Sonoma County Department of Health Services,CA001,CA,
CA052,Sonoma County Department of Health Services,CA025,CA,
CA052,Sonoma County Department of Health Services,CA023,CA,
CA052,Sonoma County Department of Health Services,CA030,CA,
CA053,Stanislaus County Health Services Agency,CA011,CA,
CA053,Stanislaus County Health Services Agency,CA022,CA,
CA053,Stanislaus County Health Services Agency,CA026,CA,
CA053,Stanislaus County Health Services Agency,CA042,CA,
CA054,Sutter County Health Department,CA034,CA,
CA054,Sutter County Health Department,CA048,CA,
CA054,Sutter County Health Department,CA062,CA,
CA054,Sutter County Health Department,CA063,CA,
CA054,Sutter County Health Department,CA056,CA,
CA055,Tehama County Health Services Agency,CA034,CA,
CA055,Tehama County Health Services Agency,CA036,CA,
CA055,Tehama County Health Services Agency,CA048,CA,
CA055,Tehama County Health Services Agency,CA062,CA,
CA055,Tehama County Health Services Agency,CA035,CA,
CA058,Tulare County Health and Human Services,CA011,CA,
CA058,Tulare County Health and Human Services,CA016,CA,
CA058,Tulare County Health and Human Services,CA017,CA,
CA059,Tuolumne County Health Department,CA003,CA,
CA059,Tuolumne County Health Department,CA042,CA,
CA059,Tuolumne County Health Department,CA053,CA,
CA059,Tuolumne County Health Department,CA006,CA,
CA059,Tuolumne County Health Department,CA024,CA,
CA063,Yuba County Health Department,CA031,CA,
CA063,Yuba County Health Department,CA034,CA,
CA063,Yuba County Health Department,CA054,CA,
CO001,Alamosa County Public Health Department,CO011,CO,
CO001,Alamosa County Public Health Department,CO012,CO,
CO001,Alamosa County Public Health Department,CO013,CO,
CO001,Alamosa County Public Health Department,CO052,CO,
CO001,Alamosa County Public Health Department,CO054,CO,
CO003,"Community Health Services, Inc.",CO018,CO,
CO003,"Community Health Services, Inc.",CO023,CO,
CO003,"Community Health Services, Inc.",CO037,CO,
CO003,"Community Health Services, Inc.",CO058,CO,
CO006,Boulder County Public Health,CO004,CO,
CO006,Boulder County Public Health,CO085,CO,
CO006,Boulder County Public Health,CO029,CO,
CO006,Boulder County Public Health,CO037,CO,
CO006,Boulder County Public Health,CO062,CO,
CO007,Chaffee County Public Health,CO019,CO,
CO007,Chaffee County Public Health,CO086,CO,
CO007,Chaffee County Public Health,CO074,CO,
CO007,Chaffee County Public Health,CO058,CO,
CO007,Chaffee County Public Health,CO060,CO,
CO009,Cheyenne County Public Health Agency,CO079,CO,
CO009,Cheyenne County Public Health Agency,CO045,CO,
CO009,Cheyenne County Public Health Agency,CO031,CO,
CO009,Cheyenne County Public Health Agency,CO036,CO,
CO009,Cheyenne County Public Health Agency,CO049,CO,
CO011,Conejos County Public Health and Nursing Service,CO001,CO,
CO011,Conejos County Public Health and Nursing Service,CO012,CO,
CO011,Conejos County Public Health and Nursing Service,CO038,CO,
CO011,Conejos County Public Health and Nursing Service,CO052,CO,
CO011,Conejos County Public Health and Nursing Service,CO054,CO,
CO012,Costilla County Public Health Agency,CO001,CO,
CO012,Costilla County Public Health Agency,CO052,CO,
CO012,Costilla County Public Health Agency,CO011,CO,
CO012,Costilla County Public Health Agency,CO054,CO,
CO013,Hinsdale County Public Health,CO015,CO,
CO013,Hinsdale County Public Health,CO026,CO,
CO013,Hinsdale County Public Health,CO042,CO,
CO013,Hinsdale County Public Health,CO046,CO,
CO013,Hinsdale County Public Health,CO057,CO,
CO014,Custer County Public Health Agency,CO045,CO,
CO014,Custer County Public Health Agency,CO035,CO,
CO014,Custer County Public Health Agency,CO049,CO,
CO014,Custer County Public Health Agency,CO058,CO,
CO014,Custer County Public Health Agency,CO060,CO,
CO015,Delta County Department of Health and Human Services,CO034,CO,
CO015,Delta County Department of Health and Human Services,CO029,CO,
CO015,Delta County Department of Health and Human Services,CO045,CO,
CO017,Dolores County Public Health Agency,CO040,CO,
CO017,Dolores County Public Health Agency,CO055,CO,
CO017,Dolores County Public Health Agency,CO056,CO,
CO018,Eagle County Public Health Agency,CO003,CO,
CO018,Eagle County Public Health Agency,CO023,CO,
CO018,Eagle County Public Health Agency,CO037,CO,
CO018,Eagle County Public Health Agency,CO050,CO,
CO018,Eagle County Public Health Agency,CO062,CO,
CO023,Garfield County Public Health,CO006,CO,
CO023,Garfield County Public Health,CO037,CO,
CO023,Garfield County Public Health,CO018,CO,
CO023,Garfield County Public Health,CO019,CO,
CO023,Garfield County Public Health,CO003,CO,
CO024,Gilpin County Public Health Agency,CO087,CO,
CO024,Gilpin County Public Health Agency,CO029,CO,
CO025,Grand County Public Health,CO087,CO,
CO025,Grand County Public Health,CO003,CO,
CO025,Grand County Public Health,CO023,CO,
CO025,Grand County Public Health,CO058,CO,
CO025,Grand County Public Health,CO060,CO,
CO029,Jefferson County Public Health,CO006,CO,
CO029,Jefferson County Public Health,CO004,CO,
CO029,Jefferson County Public Health,CO085,CO,
CO029,Jefferson County Public Health,CO085,CO,
CO029,Jefferson County Public Health,CO062,CO,
CO030,Kiowa County Public Health Agency,CO079,CO,
CO030,Kiowa County Public Health Agency,CO009,CO,
CO030,Kiowa County Public Health Agency,CO045,CO,
CO030,Kiowa County Public Health Agency,CO031,CO,
CO031,Kit Carson County Health and Human Services,CO009,CO,
CO031,Kit Carson County Health and Human Services,CO034,CO,
CO031,Kit Carson County Health and Human Services,CO036,CO,
CO031,Kit Carson County Health and Human Services,CO043,CO,
CO031,Kit Carson County Health and Human Services,CO064,CO,
CO034,Larimer County Health Department,CO006,CO,
CO034,Larimer County Health Department,CO015,CO,
CO034,Larimer County Health Department,CO029,CO,
CO034,Larimer County Health Department,CO062,CO,
CO034,Larimer County Health Department,CO064,CO,
CO035,Las Animas-Huerfano Counties District Health Department,CO045,CO,
CO035,Las Animas-Huerfano Counties District Health Department,CO014,CO,
CO035,Las Animas-Huerfano Counties District Health Department,CO050,CO,
CO036,Lincoln County Department of Public Health,CO009,CO,
CO036,Lincoln County Department of Public Health,CO031,CO,
CO037,Mesa County Health Department,CO006,CO,
CO037,Mesa County Health Department,CO023,CO,
CO038,Mineral County Public Health,CO001,CO,
CO038,Mineral County Public Health,CO011,CO,
CO038,Mineral County Public Health,CO012,CO,
CO038,Mineral County Public Health,CO052,CO,
CO038,Mineral County Public Health,CO054,CO,
CO040,Montezuma County Public Health Agency,CO055,CO,
CO040,Montezuma County Public Health Agency,CO017,CO,
CO042,Montrose County Department of Health and Human Services,CO015,CO,
CO042,Montrose County Department of Health and Human Services,CO026,CO,
CO042,Montrose County Department of Health and Human Services,CO013,CO,
CO042,Montrose County Department of Health and Human Services,CO046,CO,
CO042,Montrose County Department of Health and Human Services,CO057,CO,
CO045,Otero County Health Department,CO005,CO,
CO045,Otero County Health Department,CO079,CO,
CO045,Otero County Health Department,CO035,CO,
CO045,Otero County Health Department,CO049,CO,
CO045,Otero County Health Department,CO050,CO,
CO046,Ouray County Public Health Agency,CO026,CO,
CO046,Ouray County Public Health Agency,CO015,CO,
CO046,Ouray County Public Health Agency,CO013,CO,
CO049,Prowers County Public Health and Environment,CO079,CO,
CO049,Prowers County Public Health and Environment,CO005,CO,
CO049,Prowers County Public Health and Environment,CO009,CO,
CO049,Prowers County Public Health and Environment,CO045,CO,
CO049,Prowers County Public Health and Environment,CO031,CO,
CO050,Pueblo City-County Health Department,CO006,CO,
CO050,Pueblo City-County Health Department,CO019,CO,
CO050,Pueblo City-County Health Department,CO018,CO,
CO050,Pueblo City-County Health Department,WA011,WA,
CO052,Rio Grande County Public Health Agency,CO001,CO,
CO052,Rio Grande County Public Health Agency,CO012,CO,
CO052,Rio Grande County Public Health Agency,CO054,CO,
CO052,Rio Grande County Public Health Agency,CO055,CO,
CO052,Rio Grande County Public Health Agency,NV001,NV,
CO054,Saguache County Public Health,CO001,CO,
CO054,Saguache County Public Health,CO007,CO,
CO054,Saguache County Public Health,CO012,CO,
CO054,Saguache County Public Health,CO038,CO,
CO054,Saguache County Public Health,CO052,CO,
CO055,San Juan Basin Health Department,CO056,CO,
CO055,San Juan Basin Health Department,CO040,CO,
CO056,San Juan County Public Health Service,CO055,CO,
CO060,Teller County Public Health Department,CO007,CO,
CO060,Teller County Public Health Department,CO019,CO,
CO060,Teller County Public Health Department,CO014,CO,
CO060,Teller County Public Health Department,CO086,CO,
CO060,Teller County Public Health Department,CO062,CO,
CO062,Tri-County Health Department,CO006,CO,
CO062,Tri-County Health Department,CO004,CO,
CO062,Tri-County Health Department,CO085,CO,
CO062,Tri-County Health Department,CO019,CO,
CO062,Tri-County Health Department,CO029,CO,
CO064,Weld County Department of Public Health and Environment,CO006,CO,
CO064,Weld County Department of Public Health and Environment,CO085,CO,
CO064,Weld County Department of Public Health and Environment,CO029,CO,
CO064,Weld County Department of Public Health and Environment,CO034,CO,
CO064,Weld County Department of Public Health and Environment,CO062,CO,
CO074,Park County Public Health,CO007,CO,
CO074,Park County Public Health,CO019,CO,
CO074,Park County Public Health,CO086,CO,
CO074,Park County Public Health,CO058,CO,
CO074,Park County Public Health,CO060,CO,
CO079,Baca County Public Health Agency,CO005,CO,
CO079,Baca County Public Health Agency,CO045,CO,
CO079,Baca County Public Health Agency,CO030,CO,
CO079,Baca County Public Health Agency,CO049,CO,
CO085,Denver Public Health Department,CO006,CO,
CO085,Denver Public Health Department,CO062,CO,
CO085,Denver Public Health Department,CO085,CO,
CO085,Denver Public Health Department,CO029,CO,
CO086,Lake County Public Health Agency,CO007,CO,
CO086,Lake County Public Health Agency,CO019,CO,
CO086,Lake County Public Health Agency,CO074,CO,
CO086,Lake County Public Health Agency,CO058,CO,
CO086,Lake County Public Health Agency,CO060,CO,
CO087,Clear Creek County Public and Environmental Health Department,CO024,CO,
CO087,Clear Creek County Public and Environmental Health Department,CO085,CO,
CO087,Clear Creek County Public and Environmental Health Department,CO029,CO,
CO087,Clear Creek County Public and Environmental Health Department,CO074,CO,
CO087,Clear Creek County Public and Environmental Health Department,CO058,CO,
CT006,West Hartford-Bloomfield Health District,CT112,CT,
CT006,West Hartford-Bloomfield Health District,"CT043
",CT,
CT006,West Hartford-Bloomfield Health District,CT034,CT,
CT006,West Hartford-Bloomfield Health District,CT047,CT,
CT006,West Hartford-Bloomfield Health District,CT116,CT,
CT011,Bristol-Burlington Health District,CT112,CT,
CT011,Bristol-Burlington Health District,CT034,CT,
CT011,Bristol-Burlington Health District,CT130,CT,
CT011,Bristol-Burlington Health District,CT106,CT,
CT011,Bristol-Burlington Health District,CT006,CT,
CT012,Brookfield Health Department,CT005,CT,
CT012,Brookfield Health Department,CT022,CT,
CT012,Brookfield Health Department,CT066,CT,
CT012,Brookfield Health Department,CT068,CT,
CT012,Brookfield Health Department,CT084,CT,
CT021,Cromwell Health Department,CT112,CT,
CT021,Cromwell Health Department,CT057,CT,
CT022,Danbury Health & Housing Department,CT089,CT,
CT022,Danbury Health & Housing Department,"CT109
",CT,
CT023,Darien Health Department,CT030,CT,
CT023,Darien Health Department,CT073,CT,
CT023,Darien Health Department,CT096,CT,
CT023,Darien Health Department,CT098,CT,
CT023,Darien Health Department,CT111,CT,
CT028,East Hartford Department of Health & Social Services,CT112,CT,
CT028,East Hartford Department of Health & Social Services,CT052,CT,
CT028,East Hartford Department of Health & Social Services,CT043,CT,
CT028,East Hartford Department of Health & Social Services,CT006,CT,
CT031,Easton Health Department,CT033,CT,
CT031,Easton Health Department,CT059,CT,
CT031,Easton Health Department,CT083,CT,
CT031,Easton Health Department,CT059,CT,
CT031,Easton Health Department,CT111,CT,
CT032,Essex Health Department,CT015,CT,
CT032,Essex Health Department,CT075,CT,
CT032,Essex Health Department,CT058,CT,
CT032,Essex Health Department,CT098,CT,
CT032,Essex Health Department,CT110,CT,
CT034,Farmington Valley Health District,CT112,CT,
CT034,Farmington Valley Health District,CT006,CT,
CT034,Farmington Valley Health District,CT052,CT,
CT037,Glastonbury Health Department,CT005,CT,
CT037,Glastonbury Health Department,CT075,CT,
CT037,Glastonbury Health Department,CT047,CT,
CT037,Glastonbury Health Department,CT051,CT,
CT037,Glastonbury Health Department,CT102,CT,
CT038,Greenwich Department of Health,CT023,CT,
CT038,Greenwich Department of Health,CT073,CT,
CT038,Greenwich Department of Health,CT079,CT,
CT038,Greenwich Department of Health,CT096,CT,
CT038,Greenwich Department of Health,CT098,CT,
CT045,Killingworth Health Department,CT131,CT,
CT045,Killingworth Health Department,CT075,CT,
CT047,Ledge Light Health District,CT052,CT,
CT047,Ledge Light Health District,CT072,CT,
CT047,Ledge Light Health District,CT102,CT,
CT047,Ledge Light Health District,CT006,CT,
CT050,Madison Health Department,CT075,CT,
CT050,Madison Health Department,CT030,CT,
CT050,Madison Health Department,CT041,CT,
CT052,Eastern Highlands Health District,CT034,CT,
CT052,Eastern Highlands Health District,CT047,CT,
CT052,Eastern Highlands Health District,CT073,CT,
CT052,Eastern Highlands Health District,CT102,CT,
CT052,Eastern Highlands Health District,CT006,CT,
CT054,Meriden Department of Health and Human Services,CT015,CT,
CT054,Meriden Department of Health and Human Services,CT130,CT,
CT054,Meriden Department of Health and Human Services,CT098,CT,
